director_name,genres,actor_1_name,movie_title,imdb_score,title_year
A. Raven Cruz,Action|Adventure|Comedy|Fantasy|Sci-Fi,Scott Levy,The Helix... Loaded,4.9,2005
Aaron Hann,Drama|Horror|Mystery|Sci-Fi|Thriller,Jordi Vilasuso,Circle,5.3,2015
Aaron Schneider,Drama|Mystery,Bill Murray,Get Low,6,2009
Aaron Seltzer,Comedy|Romance,Alyson Hannigan,Date Movie,6.7,2006
Abel Ferrara,Crime|Drama,Isabella Rossellini,The Funeral,6.4,1996
Adam Brooks,Comedy|Drama|Romance,Ryan Reynolds,"""Definitely",6,
Adam Carolla,Comedy,Jay Mohr,Road Hard,5.2,2015
Adam Goldberg,Drama|Mystery,Judy Greer,I Love Your Work,5.2,2003
Adam Green,Comedy|Horror,Joel David Moore,Hatchet,5.2,2006
Adam Jay Epstein,Comedy,Rich Ceraulo,Extreme Movie,5.1,2008
Adam Marcus,Fantasy|Horror|Thriller,Kane Hodder,Jason Goes to Hell: The Final Friday,5.6,1993
Adam McKay,Comedy,Darcy Donavan,Anchorman: The Legend of Ron Burgundy,6.9,2004
Adam McKay,Biography|Comedy|Drama|History,Ryan Gosling,The Big Short,7,2015
Adam McKay,Comedy,Harrison Ford,Anchorman 2: The Legend Continues,7.4,2013
Adam McKay,Action|Comedy|Sport,Will Ferrell,Talladega Nights: The Ballad of Ricky Bobby,7.7,2006
Adam McKay,Comedy,Will Ferrell,Step Brothers,7.7,2008
Adam McKay,Action|Comedy|Crime,Dwayne Johnson,The Other Guys,8.1,2010
Adam Rapp,Comedy|Drama,Zooey Deschanel,Winter Passing,5.6,2005
Adam Rifkin,Comedy|Drama,Marri Savinar,Shooting the Warwicks,3.8,2015
Adam Rifkin,Comedy|Music,Natasha Lyonne,Detroit Rock City,6.5,1999
Adam Shankman,Drama|Romance,Lauren German,A Walk to Remember,6.3,2002
Adam Shankman,Comedy,Angus T. Jones,Bringing Down the House,6.8,2003
Adam Shankman,Comedy|Romance,Matthew McConaughey,The Wedding Planner,7,2001
Adam Shankman,Action|Comedy|Drama|Family|Thriller,Vin Diesel,The Pacifier,7.5,2005
Adam Shankman,Adventure|Comedy|Family,Taylor Lautner,Cheaper by the Dozen 2,7.6,2005
Adam Shankman,Comedy|Drama|Musical|Romance,James Martin Kelly,Rock of Ages,7.7,2012
Adam Shankman,Comedy|Drama|Family|Music|Musical|Romance,Jerry Stiller,Hairspray,7.8,2007
Adam Shankman,Comedy|Family|Fantasy|Romance,Adam Sandler,Bedtime Stories,7.8,2008
Adrian Lyne,Drama|Music|Romance,Michael Nouri,Flashdance,6.1,1983
Adrian Lyne,Drama|Romance|Thriller,Fred Gwynne,Fatal Attraction,6.4,1987
Adrian Lyne,Drama|Romance,David Margulies,9 Weeks,6.6,1986
Adrian Lyne,Drama|Thriller,Olivier Martinez,Unfaithful,7.4,2002
Adrienne Shelly,Comedy|Drama|Romance,Lew Temple,Waitress,5.2,2007
Agnieszka Holland,Biography|Drama|Music,Phyllida Law,Copying Beethoven,6.3,2006
Agnieszka Wojtowicz-Vosloo,Drama|Horror|Mystery|Thriller,Liam Neeson,After.Life,5.8,2009
Agustn Daz Yanes,Adventure|Drama|History|Romance|Thriller|War,Viggo Mortensen,Captain Alatriste: The Spanish Musketeer,7,2006
Aki Kaurismki,Comedy|Drama,Jean-Pierre Laud,Le Havre,5.9,2011
Akira Kurosawa,Action|Adventure|Drama,Takashi Shimura,Seven Samurai,4.5,1954
Akira Kurosawa,Drama,Tatsuo Matsumura,Madadayo,6.3,1993
Akiva Goldsman,Drama|Fantasy|Mystery|Romance,Matt Bomer,Winter's Tale,7.5,2014
Akiva Schaffer,Action|Comedy|Sci-Fi,Will Forte,The Watch,5.6,2012
Akiva Schaffer,Comedy,Sissy Spacek,Hot Rod,6.9,2007
