SCHEDULED TIME,ARRIVAL TIME,AIRLINE,FLIGHT,FROM,TERMINAL,BELT,STATUS
00:05,00:41,ALL NIPPON AIRWAYS (NH),NH801,Tokyo (Narita),2,34,Landed
00:10,00:11,UNITED AIRLINES INC,UA803,Washington DC via Tokyo (Narita),3,47,Landed
00:10,00:15,JETSTAR,3K696,Hong Kong,1,20,Landed
00:10,00:43,TIGERAIR SINGAPORE,TR2261,Surabaya,2,36,Landed
00:15,00:04,CATHAY PACIFIC AIRWAYS,CX715,Hong Kong,1,21,Landed
00:15,00:27,SINGAPORE AIRLINES LTD,SQ949,Bali-Denpasar,3,41,Landed
00:20,00:08,SINGAPORE AIRLINES LTD,SQ242,Sydney,3,45,Landed
00:20,00:19,UNITED AIRLINES INC,UA895,Chicago via Hong Kong,3,48,Landed
00:20,00:23,SINGAPORE AIRLINES LTD,SQ8993,Bangkok (Don Mueang),3,46,Landed
00:20,00:40,SINGAPORE AIRLINES LTD,SQ208,Melbourne,3,42,Landed
00:20,00:00,TIGERAIR SINGAPORE,TR2333,Ho Chi Minh,2,31,Landed
00:25,00:06,SINGAPORE AIRLINES LTD,SQ981,Bangkok (Suvarnabhumi),3,43,Landed
00:30,00:13,VALUAIR,VF206,Jakarta,1,16,Landed
00:30,00:21,SINGAPORE AIRLINES LTD,SQ835,Shanghai,2,32,Landed
00:30,00:32,JETSTAR,3K722,Osaka via Taipei,1,22,Landed
00:30,00:49,JAPAN AIRLINES,JL711,Tokyo (Narita),1,16,Landed
00:30,00:56,CHINA EASTERN AIRWAYS,MU5081,Qingdao via Wuxi,3,44,Landed
00:35,00:17,JETSTAR,3K552,Ho Chi Minh,1,18,Landed
00:35,00:30,ASIANA AIRLINES,OZ753,Seoul,3,45,Landed
00:40,,JETSTAR,3K514,Bangkok (Suvarnabhumi),1,,Cancelled
00:40,,JETSTAR,3K584,Yangon,1,,Cancelled
00:40,00:36,AIR CHINA,CA403,Chengdu,1,23,Landed
00:45,00:45,JETSTAR,3K766,Manila,1,19,Landed
00:50,,CEBU PACIFIC AIR,5J807,Manila,2,35,Cancelled
00:50,00:34,TIGERAIR SINGAPORE,TR2069,Hong Kong,2,31,Landed
00:50,00:38,JETSTAR,3K538,Phuket,1,17,Landed
00:50,00:52,SINGAPORE AIRLINES LTD,SQ15,San Francisco via Seoul,3,46,Landed
01:00,,TIGERAIR SINGAPORE,TR2115,Bangkok (Suvarnabhumi),2,,Cancelled
01:05,00:51,QATAR AIRWAYS,QR945,Bali-Denpasar,3,43,Landed
01:20,02:05,DELTA AIRLINES,DL167,Seattle via Tokyo (Narita),1,20,Landed
01:45,01:50,TIGERAIR SINGAPORE,TR2727,Manila,2,35,Landed
02:20,02:15,SINGAPORE AIRLINES LTD,SQ8995,Bangkok (Don Mueang),2,31,Landed
02:45,02:20,JETSTAR,3K532,Phuket,1,21,Landed
03:00,02:44,AIRASIA,AK9809,Kuala Lumpur,1,22,Landed
03:00,02:51,SINGAPORE AIRLINES LTD,SQ11,Los Angeles via Tokyo (Narita),3,42,Landed
03:20,02:55,TIGERAIR SINGAPORE,TR2717,Perth,2,36,Landed
03:40,03:54,TIGERAIR SINGAPORE,TR2953,Shenzhen,2,33,Landed
04:10,04:02,SILKAIR (SINGAPORE) PTE LTD,MI937,Chengdu,2,37,Landed
04:35,04:18,HAINAN AIRLINES,HU7935,Hefei via Haikou,2,34,Landed
04:40,04:28,INDIGO,6E53,Chennai,2,38,Landed
04:55,05:01,TIGERAIR SINGAPORE,TR2657,Dhaka,2,32,Landed
05:00,04:42,SINGAPORE AIRLINES LTD,SQ635,Tokyo (Haneda),2,36,Landed
05:00,04:50,CHINA EASTERN AIRWAYS,MU543,Shanghai,3,43,Landed
05:10,04:55,SINGAPORE AIRLINES LTD,SQ615,Osaka,3,44,Landed
05:15,04:58,CATHAY PACIFIC AIRWAYS,CX659,Hong Kong,1,21,Landed
05:20,,SINGAPORE AIRLINES LTD,SQ853,Guangzhou,3,,Cancelled
05:35,05:32,SCOOT,TZ205,Seoul via Taipei,2,36,Landed
05:35,05:39,SINGAPORE AIRLINES LTD,SQ603,Seoul,2,32,Landed
05:40,05:08,SINGAPORE AIRLINES LTD,SQ61,Houston via Moscow,3,42,Landed
05:45,05:14,AIR CHINA,CA975,Beijing,1,22,Landed
05:50,05:21,SINGAPORE AIRLINES LTD,SQ323,Amsterdam,2,31,Landed
05:50,05:28,SILKAIR (SINGAPORE) PTE LTD,MI447,Vishakhapatnam,2,33,Landed
05:50,05:35,JETSTAR,3K132,Perth,1,20,Landed
05:50,05:41,TIGERAIR SINGAPORE,TR2639,Chennai,2,38,Landed
05:55,05:17,SINGAPORE AIRLINES LTD,SQ246,Brisbane,2,37,Landed
05:55,05:37,SINGAPORE AIRLINES LTD,SQ825,Shanghai,3,48,Landed
05:55,05:46,SINGAPORE AIRLINES LTD,SQ345,Zurich,3,43,Landed
06:00,05:48,SINGAPORE AIRLINES LTD,SQ447,Dhaka,2,34,Landed
06:00,05:57,SINGAPORE AIRLINES LTD,SQ218,Melbourne,3,42,Landed
06:05,05:50,SINGAPORE AIRLINES LTD,SQ529,Chennai,3,41,Landed
06:05,05:55,SINGAPORE AIRLINES LTD,SQ503,Bangalore,2,35,Landed
06:05,06:18,JAPAN AIRLINES,JL35,Tokyo (Haneda),1,17,Landed
06:10,05:44,SINGAPORE AIRLINES LTD,SQ479,Cape Town via Johannesburg,3,44,Landed
06:10,06:11,SINGAPORE AIRLINES LTD,SQ403,New Delhi,3,47,Landed
06:10,06:34,SILKAIR (SINGAPORE) PTE LTD,MI477,Hyderabad,2,38,Landed
06:15,05:59,ALL NIPPON AIRWAYS (NH),NH843,Tokyo (Haneda),2,33,Landed
06:15,06:02,SILKAIR (SINGAPORE) PTE LTD,MI467,Kochi,2,37,Landed
06:25,05:52,SINGAPORE AIRLINES LTD,SQ801,Beijing,2,31,Landed
06:30,06:06,SILKAIR (SINGAPORE) PTE LTD,MI457,Coimbatore,2,32,Landed
06:35,06:08,SINGAPORE AIRLINES LTD,SQ517,Kolkata,3,45,Landed
06:35,06:24,SINGAPORE AIRLINES LTD,SQ216,Perth,2,31,Landed
06:40,06:21,SINGAPORE AIRLINES LTD,SQ282,Auckland,3,43,Landed
06:40,06:32,SINGAPORE AIRLINES LTD,SQ333,Paris,3,44,Landed
06:40,06:37,TIGERAIR SINGAPORE,TR2983,Guangzhou,2,34,Landed
06:45,06:27,TIGERAIR SINGAPORE,TR2665,Tiruchirapally,2,36,Landed
06:50,06:14,SINGAPORE AIRLINES LTD,SQ25,New York (John F Kennedy) via Frankfurt,3,46,Landed
07:00,06:29,JET AIRWAYS,9W20,New Delhi,3,48,Landed
07:00,06:39,SINGAPORE AIRLINES LTD,SQ377,Barcelona via Milan,3,45,Landed
07:00,07:02,CATHAY PACIFIC AIRWAYS,CX2710,Colombo,1,23,Landed
07:10,06:52,SINGAPORE AIRLINES LTD,SQ451,Male,2,35,Landed
07:10,06:55,SINGAPORE AIRLINES LTD,SQ327,Manchester via Munich,3,42,Landed
07:15,07:01,AIRASIA,AK701,Kuala Lumpur,1,20,Landed
07:20,06:57,SINGAPORE AIRLINES LTD,SQ317,London,3,47,Landed
07:20,08:13,AIR INDIA,AI342,Mumbai via Chennai,2,33,Landed
