Week,Year,Title,Studio,Weekly Gross,Theater Count
46,2017,American Made,Uni.,193585,160
46,2017,Despicable Me 3,Uni.,164480,172
46,2017,Happy Death Day,Uni.,295810,265
46,2017,Lady Bird,A24,3157525,741
46,2017,Murder on the Orient Express (2017),Fox,17703638,3214
46,2017,"Roman J. Israel, Esq.",Sony,74000,1648
46,2017,Thank You for Your Service (2017),Uni.,124630,172
46,2017,The Florida Project,A24,380908,167
46,2017,The Killing of a Sacred Deer,A24,250219,67
46,2017,The Star,Sony,12521000,2837
46,2017,Thor: Ragnarok,BV,27616830,3281
46,2017,"Three Billboards Outside Ebbing, Missouri",FoxS,1334775,590
46,2017,Victoria and Abdul,Focus,284785,188
45,2017,1945,Men.,27036,2
45,2017,78/52: Hitchcock's Shower Scene,IFC,4871,10
45,2017,A Bad Moms Christmas,STX,15658529,3587
45,2017,A Beautiful Planet,Imax,61147,12
45,2017,A Question Of Faith,PFR,85927,30
45,2017,Aida's Secrets,MBox,9151,6
45,2017,All the Queen's Horses,Argo.,9521,1
45,2017,American Made,Uni.,614520,419
45,2017,Bad Grandmas,PDF,4380,4
45,2017,Bad Lucky Goat,FM,1379,2
45,2017,Battle of the Sexes,FoxS,132525,103
45,2017,Bill Nye: Science Guy,PBS,15056,1
45,2017,Blade of the Immortal,Magn.,30034,28
45,2017,Blade Runner 2049,WB,2059166,863
45,2017,Born to Be Wild (IMAX),WB,3639,5
45,2017,BPM (Beats Per Minute),Orch.,19585,20
45,2017,Breathe (2017),BST,32357,32
45,2017,Brimstone and Glory,Osci.,4262,5
45,2017,Charged,Gathr,1658,2
45,2017,Chasing the Dragon,WGUSA,2337,1
45,2017,Chavela,MBox,3235,3
45,2017,City of Rock,WGUSA,4985,2
45,2017,Columbus,INDEP,5438,8
45,2017,Daddy's Home 2,Par.,35776447,3575
45,2017,Dawson City: Frozen Time,KL,256,1
45,2017,Dealt,IFC,4760,8
45,2017,Despicable Me 3,Uni.,240265,195
45,2017,Dina,Orch.,6134,8
45,2017,Dolores,PBS,12379,6
45,2017,Dreamboat,Strand,576,1
45,2017,Dunkirk,WB,80403,65
45,2017,Ex Libris: The New York Public Library,Zipp.,2163,3
45,2017,Faces Places,Cohen,52625,20
45,2017,Felicite,Strand,1679,2
45,2017,Flatliners (2017),Sony,33578,67
45,2017,Frank Serpico,IFC,889,2
45,2017,Friend Request,ENTMP,611,2
45,2017,Genesis: Paradise Lost,Fathom,1443926,419
45,2017,Geostorm,WB,2180270,1685
45,2017,God's Own Country,Orion,59255,7
45,2017,Goodbye Christopher Robin,FoxS,273348,196
45,2017,Happy Death Day,Uni.,1531585,1564
45,2017,Hubble 3D,WB,7741,2
45,2017,Human Flow,Magn.,45108,23
45,2017,Il Boom (2017 re-release),Rialto,1643,1
45,2017,Intent to Destroy,Abr.,12842,3
45,2017,Irving Berlin's Holiday Inn The Broadway,Fathom,144550,395
45,2017,Island of Lemurs: Madagascar (IMAX),WB,11232,2
45,2017,It,WB (NL),563417,578
45,2017,Jane (2017),Abr.,301965,96
45,2017,Jigsaw,LGF,4446140,2651
45,2017,Journey to the South Pacific,Imax,993,2
45,2017,Just One Drop,Gathr,1742,1
45,2017,Kidnap (2017),Aviron,7626,10
45,2017,Kingsman: The Golden Circle,Fox,563408,421
45,2017,Lady Bird,A24,1640395,37
45,2017,Last Flag Flying,LGF,219878,32
45,2017,LBJ,Electric,693442,608
45,2017,Leap!,Wein.,95461,110
45,2017,Let there be Light,ADC,1551096,774
45,2017,Lost in Paris,Osci.,1820,1
45,2017,Loving Vincent,Good Deed,818741,218
45,2017,Lucky (2017),Magn.,49755,48
45,2017,Maigret Sets a Trap (2017 re-release),KL,629,1
45,2017,Manolo: The Boy Who Made Shoes for Lizards,MBox,493,1
45,2017,Mark Felt: The Man Who Brought Down the White House,SPC,16176,16
45,2017,Marshall,ORF,578492,601
45,2017,Maudie,SPC,1232,2
45,2017,Murder on the Orient Express (2017),Fox,37928362,3341
45,2017,My Friend Dahmer,FR,267468,45
45,2017,My Little Pony: The Movie,LGF,592721,592
45,2017,No Greater Love,ADC,27361,22
45,2017,Novitiate,SPC,2390010,29
45,2017,Only The Brave,Sony,1288963,1207
45,2017,Paradise (2017),FM,591,1
45,2017,Pokemon the Movie: I Choose You!,Fathom,657849,789
45,2017,Professor Marston & the Wonder Women,Annapurna,9242,11
45,2017,Rat Film,CGld,960,1
45,2017,Rebels on Pointe,Icar.,1539,1
45,2017,Rumble: The Indians Who Rocked The World,KL,3356,2
45,2017,Same Kind of Different as Me,PFR,265353,296
45,2017,Score: A Film Music Documentary,Grav.,995,2
45,2017,Shakespeare Wallah (re-issue),Cohen,4650,1
45,2017,Song of Granite,Osci.,1134,1
45,2017,Space Station 3-D (IMAX),Imax,2416,2
45,2017,Spider-Man: Homecoming,Sony,79244,117
45,2017,Stronger,RAtt.,19253,21
45,2017,Suburbicon,Par.,111751,281
45,2017,Take Every Wave: The Life of Liard Hamilton,IFC,4571,4
45,2017,TCM Presents Casablanca 75th Anniversary,Fathom,1024560,725
45,2017,Thank You for Your Service (2017),Uni.,1131980,1348
45,2017,The Challenge (2017),KL,696,2
45,2017,The Emoji Movie,Sony,91269,124
45,2017,The Florida Project,A24,747215,229
45,2017,The Force (2017),KL,706,2
45,2017,The Foreigner,STX,1076366,737
45,2017,The Killing of a Sacred Deer,A24,684602,238
45,2017,The King's Choice,Gold.,3290,4
45,2017,The LEGO Ninjago Movie,WB,960981,771
45,2017,The Mountain Between Us,Fox,380221,403
45,2017,The Paris Opera,FM,5811,3
45,2017,The Sacrifice (2017 re-release),KL,1011,2
45,2017,The Snowman,Uni.,48050,85
45,2017,The Square,Magn.,232107,51
45,2017,The Stray,Purd.,22905,34
45,2017,The Teacher,FM,831,2
45,2017,Thelma,Orch.,16206,1
45,2017,Thor: Ragnarok,BV,70606463,4080
45,2017,"Three Billboards Outside Ebbing, Missouri",FoxS,434225,4
45,2017,Time to Die,FM,204,1
45,2017,Tom of Finland,KL,24020,11
45,2017,Tragedy Girls,G&S,7445,12
45,2017,Tulip Fever,Wein.,6664,1
45,2017,Tyler Perry's Boo 2! A Madea Halloween,LGF,2327877,1900
45,2017,Under the Sea 3D,WB,4661,5
45,2017,Victoria and Abdul,Focus,987511,637
45,2017,Wait For Your Laugh,Vita.,10992,5
45,2017,Walk With Me,Gathr,34376,27
45,2017,Walking Out,IFC,5141,11
45,2017,War for the Planet of the Apes,Fox,21625,30
45,2017,Wind River,Wein.,47591,86
45,2017,Wonderstruck,RAtt.,340681,261
44,2017,1945,Men.,32006,2
44,2017,30 Years of Garbage: The Garbage Pail Kids Story,Indic.,350,1
44,2017,78/52: Hitchcock's Shower Scene,IFC,5161,11
44,2017,A Bad Moms Christmas,STX,23837520,3615
44,2017,A Beautiful Planet,Imax,42588,14
44,2017,A Question Of Faith,PFR,20676,25
44,2017,Aida's Secrets,MBox,16537,7
44,2017,All I See is You,ORF,9284,53
44,2017,American Assassin,LGF,113568,159
44,2017,American Made,Uni.,1123060,663
44,2017,American Satan,Sumerian,3888,11
44,2017,Bad Grandmas,PDF,4160,1
44,2017,Bad Lucky Goat,FM,576,1
44,2017,Battle of the Sexes,FoxS,252615,158
44,2017,Bill Nye: Science Guy,PBS,759,1
44,2017,Blade of the Immortal,Magn.,80581,31
44,2017,Blade Runner 2049,WB,3370167,1464
44,2017,Born to Be Wild (IMAX),WB,6247,8
44,2017,BPM (Beats Per Minute),Orch.,16633,5
44,2017,Breathe (2017),BST,66030,58
44,2017,Brimstone and Glory,Osci.,3104,4
44,2017,Bugs,KL,319,1
44,2017,Charged,Gathr,1821,2
44,2017,Chasing the Dragon,WGUSA,3960,1
44,2017,Chavela,MBox,5470,4
44,2017,City of Rock,WGUSA,10666,3
44,2017,Columbus,INDEP,9359,10
44,2017,Dawson City: Frozen Time,KL,262,1
44,2017,Dealt,IFC,13555,6
44,2017,Deep Sea 3D (IMAX),WB,1691,1
44,2017,Despicable Me 3,Uni.,273270,194
44,2017,Dina,Orch.,19934,24
44,2017,Dolores,PBS,9389,9
44,2017,Dreamboat,Strand,3405,1
44,2017,Dunkirk,WB,68018,65
44,2017,Ex Libris: The New York Public Library,Zipp.,2369,6
44,2017,Faces Places,Cohen,73463,28
44,2017,Felicite,Strand,1753,1
44,2017,Flatliners (2017),Sony,68117,104
44,2017,Frank Serpico,IFC,3290,1
44,2017,Friend Request,ENTMP,662,7
44,2017,Galapagos (IMAX),Imax,503,1
44,2017,Geostorm,WB,4343551,2666
44,2017,God's Own Country,Orion,30488,4
44,2017,Good Time,A24,3060,1
44,2017,Goodbye Christopher Robin,FoxS,536953,262
44,2017,Happy Death Day,Uni.,3488100,2184
44,2017,Home Again,ORF,27126,63
44,2017,Hubble 3D,WB,6173,2
44,2017,Human Flow,Magn.,70988,35
44,2017,Island of Lemurs: Madagascar (IMAX),WB,10572,3
44,2017,It,WB (NL),1306400,1081
44,2017,Jane (2017),Abr.,308145,55
44,2017,Jigsaw,LGF,8797622,2941
44,2017,Journey to the South Pacific,Imax,852,1
44,2017,Just One Drop,Gathr,8479,6
44,2017,Kidnap (2017),Aviron,10163,14
44,2017,Kills on Wheels,KL,1429,1
44,2017,Kingsman: The Golden Circle,Fox,1127356,802
44,2017,Lady Bird,A24,532080,4
44,2017,Last Flag Flying,LGF,69773,4
44,2017,LBJ,Electric,1575946,659
44,2017,Leap!,Wein.,104478,110
44,2017,Let there be Light,ADC,2432538,642
44,2017,Logan Lucky,BST,8800,23
44,2017,Loving Vincent,Good Deed,975744,205
44,2017,Lucky (2017),Magn.,92222,67
44,2017,Machines,KL,548,1
44,2017,Maigret Sets a Trap (2017 re-release),KL,486,1
44,2017,Man from Outerspace,Indic.,1361,1
44,2017,Manolo: The Boy Who Made Shoes for Lizards,MBox,1308,1
44,2017,Mansfield 66/67,FB,5725,12
44,2017,Mark Felt: The Man Who Brought Down the White House,SPC,38928,44
44,2017,Marshall,ORF,723589,514
44,2017,Maudie,SPC,1365,3
44,2017,My Friend Dahmer,FR,53207,4
44,2017,My Little Pony: The Movie,LGF,752690,785
44,2017,Night of the Living Dead (2017 4k Restoration),Jan.,2869,1
44,2017,Novitiate,SPC,76251,16
44,2017,Only The Brave,Sony,2743449,2073
44,2017,Paradise (2017),FM,1053,1
44,2017,Paradise Club,Indic.,2446,2
44,2017,Pokemon the Movie: I Choose You!,Fathom,1743873,0
44,2017,Professor Marston & the Wonder Women,Annapurna,16251,27
44,2017,Rat Film,CGld,1127,2
44,2017,Ribbons,Indic.,1450,2
44,2017,Rumble: The Indians Who Rocked The World,KL,1891,2
44,2017,Same Kind of Different as Me,PFR,660962,524
44,2017,So B. It,Good Deed,1089,1
