GANTRY NO.,LOCATION,START TIME,END TIME,PRICE
31,CTE after Braddell Road,700,705,1
33,CTE after Serangoon Road,700,705,1
34,CTE after Balestier slip road,700,705,1
35,CTE between Ang Mo Kio Ave 1 and Braddell Road,700,705,0.5
42,PIE slip road into CTE,700,705,1
31,CTE after Braddell Road,705,725,2
33,CTE after Serangoon Road,705,725,2
34,CTE after Balestier slip road,705,725,2
35,CTE between Ang Mo Kio Ave 1 and Braddell Road,705,725,1
42,PIE slip road into CTE,705,725,2
31,CTE after Braddell Road,725,730,2
33,CTE after Serangoon Road,725,730,2
34,CTE after Balestier slip road,725,730,2
35,CTE between Ang Mo Kio Ave 1 and Braddell Road,725,730,1
42,PIE slip road into CTE,725,730,2
40,Bendemeer Road southbound after Woodsville Interchange,730,735,0.5
71,Bendemeer Road southbound after Woodsville Tunnel,730,735,0.5
39,Thomson Road southbound after Toa Payoh Rise,730,735,0.5
54,BKE between Dairy Farm Road and PIE,730,735,1
31,CTE after Braddell Road,730,735,2.5
33,CTE after Serangoon Road,730,735,2.5
34,CTE after Balestier slip road,730,735,2.5
68,CTE slip road to PIE (Changi) / Serangoon Road,730,735,1
35,CTE between Ang Mo Kio Ave 1 and Braddell Road,730,735,1
90,MCE Westbound before exit to Central Boulevard,730,735,1.5
91,MCE Westbound before exit to Maxwell Rd,730,735,1.5
32,PIE after Kallang Bahru exit,730,735,0.5
45,PIE Slip Road into Bendeemer Rd,730,735,0.5
37,PIE eastbound after Adam Road,730,735,1
38,Mount Pleasant slip road into the eastbound PIE,730,735,1
42,PIE slip road into CTE,730,735,2.5
52,Citybound AYE - After Jurong Town Hall,730,735,1
53,Citybound AYE - Clementi Avenue 6 into AYE,730,735,1
74,Citybound AYE - Clementi Avenue 2 into AYE,730,735,1
40,Bendemeer Road southbound after Woodsville Interchange,735,755,0.5
71,Bendemeer Road southbound after Woodsville Tunnel,735,755,0.5
39,Thomson Road southbound after Toa Payoh Rise,735,755,1
54,BKE between Dairy Farm Road and PIE,735,755,2
31,CTE after Braddell Road,735,755,3
33,CTE after Serangoon Road,735,755,3
34,CTE after Balestier slip road,735,755,3
68,CTE slip road to PIE (Changi) / Serangoon Road,735,755,2
35,CTE between Ang Mo Kio Ave 1 and Braddell Road,735,755,1
90,MCE Westbound before exit to Central Boulevard,735,755,3
91,MCE Westbound before exit to Maxwell Rd,735,755,3
32,PIE after Kallang Bahru exit,735,755,1
45,PIE Slip Road into Bendeemer Rd,735,755,1
37,PIE eastbound after Adam Road,735,755,2
38,Mount Pleasant slip road into the eastbound PIE,735,755,2
42,PIE slip road into CTE,735,755,3
52,Citybound AYE - After Jurong Town Hall,735,755,2
53,Citybound AYE - Clementi Avenue 6 into AYE,735,755,2
74,Citybound AYE - Clementi Avenue 2 into AYE,735,755,2
40,Bendemeer Road southbound after Woodsville Interchange,755,800,0.5
71,Bendemeer Road southbound after Woodsville Tunnel,755,800,0.5
39,Thomson Road southbound after Toa Payoh Rise,755,800,1
54,BKE between Dairy Farm Road and PIE,755,800,2
31,CTE after Braddell Road,755,800,3
33,CTE after Serangoon Road,755,800,3
34,CTE after Balestier slip road,755,800,3
68,CTE slip road to PIE (Changi) / Serangoon Road,755,800,2
35,CTE between Ang Mo Kio Ave 1 and Braddell Road,755,800,1
90,MCE Westbound before exit to Central Boulevard,755,800,2.5
91,MCE Westbound before exit to Maxwell Rd,755,800,2.5
32,PIE after Kallang Bahru exit,755,800,1
45,PIE Slip Road into Bendeemer Rd,755,800,1
37,PIE eastbound after Adam Road,755,800,2
38,Mount Pleasant slip road into the eastbound PIE,755,800,2
42,PIE slip road into CTE,755,800,3
52,Citybound AYE - After Jurong Town Hall,755,800,1.5
53,Citybound AYE - Clementi Avenue 6 into AYE,755,800,1.5
74,Citybound AYE - Clementi Avenue 2 into AYE,755,800,1.5
40,Bendemeer Road southbound after Woodsville Interchange,800,805,0.5
71,Bendemeer Road southbound after Woodsville Tunnel,800,805,0.5
39,Thomson Road southbound after Toa Payoh Rise,800,805,1.5
43,Dunearn Road eastbound after Dunkirk Avenue,800,805,0.5
44,Dunearn Road eastbound after Dunkirk Avenue,800,805,0.5
55,Upper Bt Timah Road southbound after Hume Ave,800,805,0.5
56,Lorong 6 Toa Payoh from Braddell Road,800,805,0.5
57,Kallang Bahru from PIE,800,805,0.5
58,Geylang Bahru westbound after Geylang Bahru Terrace,800,805,0.5
36,AYE between Portsdown Road and Alexandra Road,800,805,0.5
54,BKE between Dairy Farm Road and PIE,800,805,2
31,CTE after Braddell Road,800,805,3
33,CTE after Serangoon Road,800,805,3
34,CTE after Balestier slip road,800,805,3
68,CTE slip road to PIE (Changi) / Serangoon Road,800,805,2.5
35,CTE between Ang Mo Kio Ave 1 and Braddell Road,800,805,1
30,ECP (City),800,805,0.5
90,MCE Westbound before exit to Central Boulevard,800,805,2
91,MCE Westbound before exit to Maxwell Rd,800,805,2
80,KPE slip road into citybound ECP,800,805,0.5
32,PIE after Kallang Bahru exit,800,805,1
45,PIE Slip Road into Bendeemer Rd,800,805,1
37,PIE eastbound after Adam Road,800,805,2
38,Mount Pleasant slip road into the eastbound PIE,800,805,2
42,PIE slip road into CTE,800,805,3
52,Citybound AYE - After Jurong Town Hall,800,805,1
53,Citybound AYE - Clementi Avenue 6 into AYE,800,805,1
74,Citybound AYE - Clementi Avenue 2 into AYE,800,805,1
40,Bendemeer Road southbound after Woodsville Interchange,805,825,0.5
71,Bendemeer Road southbound after Woodsville Tunnel,805,825,0.5
39,Thomson Road southbound after Toa Payoh Rise,805,825,2
43,Dunearn Road eastbound after Dunkirk Avenue,805,825,0.5
44,Dunearn Road eastbound after Dunkirk Avenue,805,825,0.5
55,Upper Bt Timah Road southbound after Hume Ave,805,825,1
56,Lorong 6 Toa Payoh from Braddell Road,805,825,1
57,Kallang Bahru from PIE,805,825,1
58,Geylang Bahru westbound after Geylang Bahru Terrace,805,825,1
36,AYE between Portsdown Road and Alexandra Road,805,825,1
54,BKE between Dairy Farm Road and PIE,805,825,2
31,CTE after Braddell Road,805,825,3
33,CTE after Serangoon Road,805,825,3
34,CTE after Balestier slip road,805,825,3
68,CTE slip road to PIE (Changi) / Serangoon Road,805,825,3
