Date,Rate,ISO Code From,ISO Code To
11/25/2013 Monday,2.57577,SGD,MYR
11/26/2013 Tuesday,2.56902,SGD,MYR
11/27/2013 Wednesday,2.56016,SGD,MYR
11/28/2013 Thursday,2.57062,SGD,MYR
11/29/2013 Friday,2.57256,SGD,MYR
12/1/2013 Sunday,2.57402,SGD,MYR
12/2/2013 Monday,2.55379,SGD,MYR
12/3/2013 Tuesday,2.56649,SGD,MYR
12/4/2013 Wednesday,2.57147,SGD,MYR
12/5/2013 Thursday,2.55937,SGD,MYR
12/6/2013 Friday,2.58137,SGD,MYR
12/8/2013 Sunday,2.57883,SGD,MYR
12/9/2013 Monday,2.56380,SGD,MYR
12/10/2013 Tuesday,2.56629,SGD,MYR
12/11/2013 Wednesday,2.56475,SGD,MYR
12/12/2013 Thursday,2.57938,SGD,MYR
12/13/2013 Friday,2.57265,SGD,MYR
12/15/2013 Sunday,2.57172,SGD,MYR
12/16/2013 Monday,2.58547,SGD,MYR
12/17/2013 Tuesday,2.57899,SGD,MYR
12/18/2013 Wednesday,2.59611,SGD,MYR
12/19/2013 Thursday,2.59181,SGD,MYR
12/20/2013 Friday,2.59125,SGD,MYR
12/22/2013 Sunday,2.59272,SGD,MYR
12/23/2013 Monday,2.59405,SGD,MYR
12/24/2013 Tuesday,2.60033,SGD,MYR
12/25/2013 Wednesday,2.59885,SGD,MYR
12/26/2013 Thursday,2.59217,SGD,MYR
12/27/2013 Friday,2.61354,SGD,MYR
12/29/2013 Sunday,2.60900,SGD,MYR
12/30/2013 Monday,2.59405,SGD,MYR
12/31/2013 Tuesday,2.59960,SGD,MYR
1/1/2014 Wednesday,2.59443,SGD,MYR
1/2/2014 Thursday,2.59813,SGD,MYR
1/3/2014 Friday,2.60349,SGD,MYR
1/5/2014 Sunday,2.60077,SGD,MYR
1/6/2014 Monday,2.58562,SGD,MYR
1/7/2014 Tuesday,2.58803,SGD,MYR
1/8/2014 Wednesday,2.57042,SGD,MYR
1/9/2014 Thursday,2.57635,SGD,MYR
1/10/2014 Friday,2.57269,SGD,MYR
1/12/2014 Sunday,2.57373,SGD,MYR
1/13/2014 Monday,2.57722,SGD,MYR
1/14/2014 Tuesday,2.56991,SGD,MYR
1/15/2014 Wednesday,2.58439,SGD,MYR
1/16/2014 Thursday,2.59031,SGD,MYR
1/17/2014 Friday,2.59339,SGD,MYR
1/19/2014 Sunday,2.59786,SGD,MYR
1/20/2014 Monday,2.59781,SGD,MYR
1/21/2014 Tuesday,2.59222,SGD,MYR
1/22/2014 Wednesday,2.59951,SGD,MYR
1/23/2014 Thursday,2.59303,SGD,MYR
1/24/2014 Friday,2.61502,SGD,MYR
1/26/2014 Sunday,2.61304,SGD,MYR
1/27/2014 Monday,2.62072,SGD,MYR
1/28/2014 Tuesday,2.61638,SGD,MYR
1/29/2014 Wednesday,2.61285,SGD,MYR
1/30/2014 Thursday,2.63080,SGD,MYR
1/31/2014 Friday,2.63289,SGD,MYR
2/2/2014 Sunday,2.63297,SGD,MYR
2/3/2014 Monday,2.61920,SGD,MYR
2/4/2014 Tuesday,2.62123,SGD,MYR
