Date,Rate,ISO Code From,ISO Code To
11/25/2013 Monday,4.87561,SGD,CNY
11/26/2013 Tuesday,4.86863,SGD,CNY
11/27/2013 Wednesday,4.85458,SGD,CNY
11/28/2013 Thursday,4.85138,SGD,CNY
11/29/2013 Friday,4.85460,SGD,CNY
12/2/2013 Monday,4.84986,SGD,CNY
12/3/2013 Tuesday,4.86343,SGD,CNY
12/4/2013 Wednesday,4.85517,SGD,CNY
12/5/2013 Thursday,4.85812,SGD,CNY
12/6/2013 Friday,4.86860,SGD,CNY
12/8/2013 Sunday,4.86743,SGD,CNY
12/9/2013 Monday,4.86014,SGD,CNY
12/10/2013 Tuesday,4.86159,SGD,CNY
12/11/2013 Wednesday,4.84962,SGD,CNY
12/12/2013 Thursday,4.83415,SGD,CNY
12/13/2013 Friday,4.83753,SGD,CNY
12/15/2013 Sunday,4.83376,SGD,CNY
12/16/2013 Monday,4.83479,SGD,CNY
12/17/2013 Tuesday,4.82812,SGD,CNY
12/18/2013 Wednesday,4.84657,SGD,CNY
12/19/2013 Thursday,4.79617,SGD,CNY
12/20/2013 Friday,4.83033,SGD,CNY
12/22/2013 Sunday,4.79481,SGD,CNY
12/23/2013 Monday,4.78889,SGD,CNY
12/24/2013 Tuesday,4.78912,SGD,CNY
12/25/2013 Wednesday,4.79132,SGD,CNY
12/26/2013 Thursday,4.78213,SGD,CNY
12/27/2013 Friday,4.78386,SGD,CNY
12/29/2013 Sunday,4.77980,SGD,CNY
12/30/2013 Monday,4.78304,SGD,CNY
12/31/2013 Tuesday,4.79239,SGD,CNY
1/1/2014 Wednesday,4.79134,SGD,CNY
1/2/2014 Thursday,4.77490,SGD,CNY
1/3/2014 Friday,4.81636,SGD,CNY
1/5/2014 Sunday,4.77623,SGD,CNY
1/6/2014 Monday,4.77404,SGD,CNY
1/7/2014 Tuesday,4.75998,SGD,CNY
1/8/2014 Wednesday,4.75065,SGD,CNY
1/9/2014 Thursday,4.76340,SGD,CNY
1/10/2014 Friday,4.82490,SGD,CNY
1/12/2014 Sunday,4.78932,SGD,CNY
1/13/2014 Monday,4.77612,SGD,CNY
1/14/2014 Tuesday,4.75933,SGD,CNY
1/15/2014 Wednesday,4.74839,SGD,CNY
1/16/2014 Thursday,4.75928,SGD,CNY
1/17/2014 Friday,4.78140,SGD,CNY
1/19/2014 Sunday,4.74497,SGD,CNY
1/20/2014 Monday,4.74300,SGD,CNY
1/21/2014 Tuesday,4.73295,SGD,CNY
1/22/2014 Wednesday,4.73068,SGD,CNY
1/23/2014 Thursday,4.73377,SGD,CNY
1/24/2014 Friday,4.77361,SGD,CNY
1/27/2014 Monday,4.73884,SGD,CNY
1/28/2014 Tuesday,4.75095,SGD,CNY
1/29/2014 Wednesday,4.74205,SGD,CNY
1/30/2014 Thursday,4.75233,SGD,CNY
1/31/2014 Friday,4.74701,SGD,CNY
2/2/2014 Sunday,4.74624,SGD,CNY
2/3/2014 Monday,4.75074,SGD,CNY
2/4/2014 Tuesday,4.77771,SGD,CNY
2/5/2014 Wednesday,4.77938,SGD,CNY
2/6/2014 Thursday,4.77950,SGD,CNY
2/7/2014 Friday,4.78195,SGD,CNY
2/9/2014 Sunday,4.78186,SGD,CNY
2/10/2014 Monday,4.76879,SGD,CNY
2/11/2014 Tuesday,4.78318,SGD,CNY
2/12/2014 Wednesday,4.79056,SGD,CNY
2/13/2014 Thursday,4.79213,SGD,CNY
2/14/2014 Friday,4.81398,SGD,CNY
2/16/2014 Sunday,4.81975,SGD,CNY
2/17/2014 Monday,4.81739,SGD,CNY
2/18/2014 Tuesday,4.80880,SGD,CNY
2/19/2014 Wednesday,4.80584,SGD,CNY
2/20/2014 Thursday,4.81276,SGD,CNY
2/21/2014 Friday,4.80455,SGD,CNY
2/23/2014 Sunday,4.80512,SGD,CNY
2/24/2014 Monday,4.82895,SGD,CNY
2/25/2014 Tuesday,4.84623,SGD,CNY
2/26/2014 Wednesday,4.83469,SGD,CNY
2/27/2014 Thursday,4.84647,SGD,CNY
2/28/2014 Friday,4.84851,SGD,CNY
3/2/2014 Sunday,4.84308,SGD,CNY
3/3/2014 Monday,4.83766,SGD,CNY
3/4/2014 Tuesday,4.84150,SGD,CNY
3/5/2014 Wednesday,4.82562,SGD,CNY
3/6/2014 Thursday,4.84432,SGD,CNY
3/7/2014 Friday,4.83078,SGD,CNY
3/9/2014 Sunday,4.82781,SGD,CNY
3/10/2014 Monday,4.84075,SGD,CNY
3/11/2014 Tuesday,4.84497,SGD,CNY
3/12/2014 Wednesday,4.85201,SGD,CNY
3/13/2014 Thursday,4.84436,SGD,CNY
3/14/2014 Friday,4.85885,SGD,CNY
3/17/2014 Monday,4.88294,SGD,CNY
3/18/2014 Tuesday,4.90335,SGD,CNY
3/19/2014 Wednesday,4.86518,SGD,CNY
3/20/2014 Thursday,4.87619,SGD,CNY
3/21/2014 Friday,4.88664,SGD,CNY
3/23/2014 Sunday,4.88646,SGD,CNY
3/24/2014 Monday,4.87231,SGD,CNY
3/25/2014 Tuesday,4.89117,SGD,CNY
3/26/2014 Wednesday,4.87158,SGD,CNY
3/27/2014 Thursday,4.91646,SGD,CNY
3/28/2014 Friday,4.93874,SGD,CNY
