YEAR,AGE RANGE,TOTAL POPULATION,CATEGORY,PERCENTAGE
2011,15-24 YEARS,903000,BOOKS/ MAGAZINES/ NEWSPAPER (IN DIGITAL FORM),4
2010,60 YEARS & ABOVE,719000,MOVIES/ SHORT FILMS OR IMAGES (IN PHYSICAL FORM),12
2010,50-59 YEARS,585000,BOOKS/ MAGAZINES/ NEWSPAPER (IN PHYSICAL FORM),14
2008,25-34 YEARS,990000,BOOKS/ MAGAZINES/ NEWSPAPER (IN PHYSICAL FORM),11
2010,15-24 YEARS,882000,BOOKS/ MAGAZINES/ NEWSPAPER (IN PHYSICAL FORM),8
2011,35-49 YEARS,1284000,IT AND TELECOMM SERVICES,6
2010,15-24 YEARS,882000,COMPUTER EQUIPMENT OR PARTS (INCL PERIPHERAL EQUIPMENT),6
2008,15-24 YEARS,848000,FOOD OR GROCERIES,3
2010,25-34 YEARS,1210000,TRAVEL PRODUCTS,45
2009,35-49 YEARS,1166000,CLOTHING/ FOOTWEAR/ SPORTING GOODS OR ACCESSORIES,26
2009,50-59 YEARS,574000,BOOKS/ MAGAZINES/ NEWSPAPER (IN DIGITAL FORM),6
2008,35-49 YEARS,1070000,BOOKS/ MAGAZINES/ NEWSPAPER (IN DIGITAL FORM),11
2010,35-49 YEARS,1215000,FOOD OR GROCERIES,9
2010,35-49 YEARS,1215000,BOOKS/ MAGAZINES/ NEWSPAPER (IN PHYSICAL FORM),14
2011,35-49 YEARS,1284000,BOOKS/ MAGAZINES/ NEWSPAPER (IN PHYSICAL FORM),13
2012,15-24 YEARS,921000,MOVIES/ SHORT FILMS OR IMAGES (IN PHYSICAL FORM),1
2012,15-24 YEARS,921000,COMPUTER SOFTWARE (IN DIGITAL FORM),1
2008,35-49 YEARS,1070000,TICKET FOR ENTERTAINMENT EVENT,33
2009,50-59 YEARS,574000,MOVIES/ SHORT FILMS OR IMAGES (IN PHYSICAL FORM),3
2008,25-34 YEARS,990000,BOOKS/ MAGAZINES/ NEWSPAPER (IN DIGITAL FORM),5
2011,60 YEARS & ABOVE,734000,COMPUTER SOFTWARE (IN DIGITAL FORM),11
2009,15-24 YEARS,860000,TRAVEL PRODUCTS,13
2011,50-59 YEARS,612000,COMPUTER SOFTWARE (IN DIGITAL FORM),9
2012,35-49 YEARS,1339000,BOOKS/ MAGAZINES/ NEWSPAPER (IN PHYSICAL FORM),10
2009,50-59 YEARS,574000,BOOKS/ MAGAZINES/ NEWSPAPER (IN PHYSICAL FORM),8
2010,35-49 YEARS,1215000,BOOKS/ MAGAZINES/ NEWSPAPER (IN DIGITAL FORM),9
2009,35-49 YEARS,1166000,FOOD OR GROCERIES,10
2010,50-59 YEARS,585000,COMPUTER SOFTWARE (IN DIGITAL FORM),4
2009,15-24 YEARS,860000,FOOD OR GROCERIES,3
