Station,Year,Month,Day,Daily Mean,Daily Max
Changi,2010,Jan,1,8.6,29.2
Changi,2010,Jan,2,8.8,30.2
Changi,2010,Jan,3,9.1,29.9
Changi,2010,Jan,4,7.5,36
Changi,2010,Jan,5,9.7,31.7
Changi,2010,Jan,6,9.4,31.7
Changi,2010,Jan,7,7.5,37.8
Changi,2010,Jan,8,10.5,34.9
Changi,2010,Jan,9,11.3,38.2
Changi,2010,Jan,10,9.4,32
Changi,2010,Jan,11,10.1,31.3
Changi,2010,Jan,12,9.7,42.1
Changi,2010,Jan,13,11.1,37.4
Changi,2010,Jan,14,12.9,45.4
Changi,2010,Jan,15,13.7,41
Changi,2010,Jan,16,10.6,37.1
Changi,2010,Jan,17,11,37.8
Changi,2010,Jan,18,11.4,46.8
Changi,2010,Jan,19,7.5,45.7
Changi,2010,Jan,20,8.7,35.3
Changi,2010,Jan,21,9,31.7
Changi,2010,Jan,22,6.7,34.9
Changi,2010,Jan,23,12.5,32.4
Changi,2010,Jan,24,13.9,37.1
Changi,2010,Jan,25,13.4,33.1
Changi,2010,Jan,26,10.5,37.4
Changi,2010,Jan,27,14.2,42.8
Changi,2010,Jan,28,11.5,37.1
Changi,2010,Jan,29,11.6,34.9
Changi,2010,Jan,30,11.2,37.4
Changi,2010,Jan,31,12.5,37.4
Changi,2010,Feb,1,12.1,39.6
Changi,2010,Feb,2,10.3,30.6
Changi,2010,Feb,3,13.2,34.6
Changi,2010,Feb,4,14.7,40
Changi,2010,Feb,5,9.9,36
Changi,2010,Feb,6,12.4,39.2
Changi,2010,Feb,7,14.3,36
Changi,2010,Feb,8,13,35.3
Changi,2010,Feb,9,13.5,43.2
Changi,2010,Feb,10,14,41
Changi,2010,Feb,11,14.5,39.6
Changi,2010,Feb,12,13.2,42.5
Changi,2010,Feb,13,14.7,42.1
Changi,2010,Feb,14,13.4,40
Changi,2010,Feb,15,12.5,39.2
Changi,2010,Feb,16,14.3,42.8
Changi,2010,Feb,17,15.3,39.6
Changi,2010,Feb,18,17.7,49
Changi,2010,Feb,19,9.9,32.4
Changi,2010,Feb,20,11.6,35.3
Changi,2010,Feb,21,13,37.4
Changi,2010,Feb,22,12.8,37.1
Changi,2010,Feb,23,12.2,34.2
Changi,2010,Feb,24,11.1,44.6
Changi,2010,Feb,25,11.2,33.8
Changi,2010,Feb,26,11.1,38.9
Changi,2010,Feb,27,11.1,29.5
Changi,2010,Feb,28,11.2,32.8
Changi,2010,Apr,1,6.6,33.5
Changi,2010,Apr,2,8.5,31.3
Changi,2010,Apr,3,8.9,42.5
Changi,2010,Apr,4,4.9,30.2
Changi,2010,Apr,5,9,34.2
Changi,2010,Apr,6,9.9,32
Changi,2010,Apr,7,10.3,43.2
Changi,2010,Apr,8,9.5,32.8
Changi,2010,Apr,9,10.2,27.7
Changi,2010,Apr,10,7,51.1
Changi,2010,Apr,11,9,33.1
Changi,2010,Apr,12,9.6,41.4
Changi,2010,Apr,13,8.2,54
Changi,2010,Apr,14,10.2,33.5
Changi,2010,Apr,15,8,42.5
Changi,2010,Apr,16,6.5,27
Changi,2010,Apr,17,6.4,32.4
Changi,2010,Apr,18,6,27.4
Changi,2010,Apr,19,5.8,32
Changi,2010,Apr,20,6.4,37.8
Changi,2010,Apr,21,4.9,33.8
Changi,2010,Apr,22,6.7,29.9
Changi,2010,Apr,23,6.8,28.4
Changi,2010,Apr,24,5.8,27.7
Changi,2010,Apr,25,8.6,31
Changi,2010,Apr,26,6,26.6
Changi,2010,Apr,27,7.5,29.5
Changi,2010,Apr,28,5.8,24.8
Changi,2010,Apr,29,7.2,38.5
Changi,2010,Apr,30,11.4,32.4
Changi,2010,May,1,9.1,28.4
Changi,2010,May,2,9.6,32.8
Changi,2010,May,3,9.2,31.3
Changi,2010,May,4,9,36.7
Changi,2010,May,5,9.8,29.5
Changi,2010,May,6,9.7,37.1
Changi,2010,May,7,8.4,27.7
Changi,2010,May,8,6.3,30.6
Changi,2010,May,9,5.8,38.5
Changi,2010,May,10,5.3,27
Changi,2010,May,11,5.8,28.4
Changi,2010,May,12,5.9,30.6
Changi,2010,May,13,5.5,32.8
Changi,2010,May,14,4.6,19.8
Changi,2010,May,15,6,37.4
Changi,2010,May,16,7.4,38.2
Changi,2010,May,17,6.5,44.6
Changi,2010,May,18,10.7,38.2
Changi,2010,May,19,6.6,31.3
Changi,2010,May,20,6.9,35.6
Changi,2010,May,21,8.5,28.1
Changi,2010,May,22,6.4,31.7
Changi,2010,May,23,7.9,26.6
Changi,2010,May,24,8.1,29.5
Changi,2010,May,25,9.4,32.4
Changi,2010,May,26,8.4,32.4
Changi,2010,May,27,9.5,41.8
Changi,2010,May,28,7.7,28.8
